Order_ID,Order_Date,Order_Time,Order_Month,Order_DayOfWeek,Order_Status,Customer_ID,Customer_Name,Customer_Phone,Customer_Type,Delivery_Country,Delivery_City,Delivery_Area,Delivery_Address,Delivery_Latitude,Delivery_Longitude,Restaurant_ID,Restaurant_Brand,Restaurant_Category,Restaurant_Cuisine,Restaurant_Founded,Restaurant_Country,Restaurant_City,Restaurant_Area,Restaurant_Address,Restaurant_Latitude,Restaurant_Longitude,Restaurant_Rating,Restaurant_OnFoodpanda_Since,Restaurant_IsChain,Product_Name,Product_Category,Quantity,Unit_Price_USD,Unit_Cost_USD,Order_Subtotal_USD,Delivery_Fee_USD,Discount_USD,Promo_Code,Net_Order_Value_USD,Food_Cost_USD,Restaurant_Commission_USD,Packaging_Cost_USD,Rider_Salary_Cost_USD,Marketing_Cost_USD,Platform_Fee_USD,Gross_Revenue_USD,Total_Cost_USD,Gross_Profit_USD,Foodpanda_Net_Rev_USD,Profit_Margin_Pct,Payment_Method,Payment_Status,Rider_ID,Rider_Name,Delivery_Time_Min,On_Time,Rider_Rating,Customer_Rating,Panda_Pro_Member,App_Platform,Is_Late_Night_Order,Is_Weekend
FP-002020,2024-01-02,08:44,Jan-2024,Tuesday,Delivered,CUST-00202,Thanh Ali,+81936571442,Loyal,Cambodia,Phnom Penh,Daun Penh,"173 Street 12, Daun Penh",11.577033,104.886349,REST-0154,Din Tai Fung,Fine Dining,Chinese,1958,Cambodia,Phnom Penh,Toul Kork,48 Commerce Blvd,11.528488,104.968549,3.3,2019,Yes,Wonton Soup,Chinese,2,6.27,1.69,12.54,0.48,0.0,,13.02,3.38,2.6,0.46,1.31,0.71,0.43,13.02,5.86,7.16,1.03,54.99,Digital Wallet,Paid,RIDER-0044,Aisha Lee,50,No,2.8,2.3,No,Web,No,No
FP-000587,2024-01-02,17:07,Jan-2024,Tuesday,Delivered,CUST-00228,Zara Kim,+63495928981,Loyal,Cambodia,Phnom Penh,Toul Kork,"13 Block 10, Toul Kork",11.539283,104.886596,REST-0152,Pepper Lunch,Casual Dining,Japanese,1994,Cambodia,Phnom Penh,Toul Kork,21 Commerce Blvd,11.512574,104.897083,4.6,2018,Yes,Gyudon Beef Bowl,Japanese,1,9.62,2.72,9.62,2.92,0.0,,12.54,2.72,1.78,0.39,1.74,0.35,0.36,12.54,5.2,7.34,2.58,58.53,Cash on Delivery,Paid,RIDER-0139,Sara Sharma,72,No,4.8,4.2,Yes,iOS,No,No
FP-003552,2024-01-02,17:55,Jan-2024,Tuesday,Refunded,CUST-00232,Wei Khan,+84596832859,Returning,Pakistan,Islamabad,G-9,"202 Lane 5, G-9",33.732736,73.11809,REST-0025,TGI Fridays,Casual Dining,American,1965,Pakistan,Islamabad,Blue Area,70 Commerce Blvd,33.766892,73.072638,4.0,2018,Yes,French Fries (L),American,1,3.65,1.28,3.65,3.42,0.0,,7.07,1.28,0.54,0.21,0.95,0.12,0.1,7.07,2.56,4.51,2.78,63.79,Credit Card,Refunded,RIDER-0057,Emily Cruz,25,Yes,4.6,2.5,Yes,Android,No,No
FP-002087,2024-01-02,13:25,Jan-2024,Tuesday,Late Delivered,CUST-00005,Carlos Ali,+70375919523,Loyal,Taiwan,Taipei,Zhongzheng,"202 Block 13, Zhongzheng",24.993662,121.522772,REST-0129,Pho Saigon,Casual Dining,Vietnamese,2009,Taiwan,Taipei,Da'an,145 Park Lane,25.037968,121.588144,3.7,2018,No,Vietnamese Spring Rolls,Vietnamese,1,9.84,2.89,9.84,0.72,1.4,SAVE15,9.16,2.89,1.77,0.48,1.52,0.39,0.21,10.56,5.28,3.88,0.31,36.74,Credit Card,Paid,RIDER-0144,Hassan Khan,41,No,3.1,2.1,Yes,Android,No,No
FP-000648,2024-01-02,08:08,Jan-2024,Tuesday,Delivered,CUST-00726,Anusha Liu,+76976659977,Returning,Cambodia,Phnom Penh,BKK1,"223 Avenue 12, BKK1",11.559606,104.88185,REST-0158,Pho Saigon,Casual Dining,Vietnamese,2009,Cambodia,Phnom Penh,BKK1,122 Food Ave,11.596689,104.927482,3.3,2022,No,Vietnamese Spring Rolls,Vietnamese,1,6.19,1.69,6.19,0.51,0.0,,6.7,1.69,0.94,0.34,1.63,0.22,0.16,6.7,3.88,2.82,-0.58,42.09,Cash on Delivery,Paid,RIDER-0034,Anusha Tan,75,No,3.8,3.3,No,Android,No,No
FP-000111,2024-01-02,04:40,Jan-2024,Tuesday,Delivered,CUST-00753,Aisha Singh,+89471686188,Returning,Pakistan,Lahore,Model Town,"102 Block 14, Model Town",31.552677,74.379953,REST-0013,Burger King,Fast Food,American,1953,Pakistan,Lahore,Model Town,71 Park Lane,31.511134,74.301673,4.9,2016,Yes,Apple Pie,American,2,2.85,0.77,5.7,0.83,1.54,NEWUSER30,4.99,1.54,1.24,0.48,1.87,0.36,0.19,6.53,4.25,0.74,-0.45,11.33,Debit Card,Paid,RIDER-0176,Sara Wang,55,No,3.4,3.2,Yes,Android,No,No
FP-002364,2024-01-02,04:47,Jan-2024,Tuesday,Delivered,CUST-00089,David Khan,+66626422169,New,Philippines,Cebu,Lahug,"120 Block 8, Lahug",10.344319,123.858541,REST-0111,Din Tai Fung,Fine Dining,Chinese,1958,Philippines,Cebu,IT Park,134 Commerce Blvd,10.297983,123.85439,4.4,2018,Yes,Xiao Long Bao,Chinese,3,9.69,2.96,29.07,0.46,0.0,FREEDELIVERY,29.53,8.88,5.95,0.34,1.74,1.59,0.82,29.53,12.55,16.98,3.56,57.5,Debit Card,Paid,RIDER-0006,Sofia Patel,24,Yes,2.8,2.6,No,iOS,No,No
FP-000937,2024-01-02,23:25,Jan-2024,Tuesday,Late Delivered,CUST-00774,Nina Khan,+93337342839,Loyal,Pakistan,Karachi,DHA,"241 Lane 20, DHA",24.867102,67.029085,REST-0007,Momo Magic,Fast Food,Nepalese,2017,Pakistan,Karachi,Clifton,85 Market Rd,24.882001,66.989519,3.8,2022,No,Chicken Momo 8pc,Nepalese,1,7.32,2.06,7.32,2.15,0.0,PANDAPRO,9.47,2.06,1.59,0.16,1.42,0.51,0.26,9.47,4.15,5.32,1.91,56.18,Debit Card,Paid,RIDER-0143,Sofia Patel,74,No,3.4,4.8,No,Android,Yes,No
FP-001382,2024-01-02,17:33,Jan-2024,Tuesday,Late Delivered,CUST-00480,Siti Wang,+79759737342,Returning,Bangladesh,Dhaka,Gulshan,"223 Lane 3, Gulshan",23.780232,90.43089,REST-0039,The Tandoor,Casual Dining,Indian,2003,Bangladesh,Dhaka,Dhanmondi,52 Park Lane,23.799294,90.371389,4.9,2017,No,Chicken Tikka Masala,Indian,1,11.75,3.32,11.75,1.14,1.08,WEEKEND10,11.81,3.32,2.05,0.16,1.45,0.37,0.24,12.89,5.3,6.51,1.45,50.5,FoodPanda Credits,Paid,RIDER-0115,Nina Park,40,Yes,4.9,2.6,No,Android,No,No
FP-003036,2024-01-02,00:29,Jan-2024,Tuesday,Delivered,CUST-00665,Lena Malik,+71115122787,New,Taiwan,Taichung,Beitun,"219 Lane 1, Beitun",24.114665,120.653944,REST-0133,Seafood Bay,Casual Dining,Seafood,2006,Taiwan,Taichung,Xitun,181 Food Ave,24.173811,120.655878,4.8,2020,No,Seafood Fried Rice,Seafood,2,17.52,6.08,35.04,4.45,8.63,NEWUSER30,30.86,12.16,7.39,0.32,1.41,2.23,1.09,39.49,16.12,14.74,8.97,37.33,Credit Card,Paid,RIDER-0122,Zara Suzuki,42,No,3.0,3.2,No,Android,Yes,No
FP-001088,2024-01-02,00:30,Jan-2024,Tuesday,Delivered,CUST-00744,Ji Park,+85667840357,Returning,Thailand,Chiang Mai,Old City,"21 Lane 17, Old City",18.77927,99.005988,REST-0066,The Burger Lab,Fast Food,American,2015,Thailand,Chiang Mai,Nimman,113 Main St,18.784973,98.974858,4.5,2017,No,Chicken McNuggets 10pc,American,2,7.43,2.15,14.86,1.91,0.0,LUNCHSPECIAL,16.77,4.3,2.13,0.38,1.27,0.71,0.44,16.77,6.66,10.11,2.12,60.29,Cash on Delivery,Paid,RIDER-0167,Carlos Khan,46,No,3.1,3.0,No,Web,Yes,No
FP-000098,2024-01-02,16:20,Jan-2024,Tuesday,Late Delivered,CUST-00527,Priya Cruz,+92590947659,Returning,Philippines,Cebu,IT Park,"70 Avenue 12, IT Park",10.282362,123.861032,REST-0119,Dunkin',Cafe,Coffee,1950,Philippines,Cebu,IT Park,174 Food Ave,10.294822,123.885574,3.6,2017,Yes,Cappuccino,Coffee,3,5.09,1.66,15.27,1.73,0.0,,17.0,4.98,2.73,0.29,1.93,0.57,0.41,17.0,7.77,9.23,2.08,54.29,Debit Card,Paid,RIDER-0195,Raj Ali,38,Yes,4.3,3.7,No,Android,No,No
FP-001719,2024-01-02,20:44,Jan-2024,Tuesday,Cancelled,CUST-00673,Nina Patel,+85818608005,Loyal,Malaysia,Kuala Lumpur,KLCC,"167 Block 15, KLCC",3.150059,101.716392,REST-0082,Falafel House,Fast Food,Middle Eastern,2014,Malaysia,Kuala Lumpur,KLCC,27 Food Ave,3.138307,101.723076,3.8,2018,No,Lentil Soup,Middle Eastern,1,5.77,1.67,5.77,1.58,0.0,FREEDELIVERY,7.35,1.67,1.14,0.64,1.92,0.34,0.12,7.35,4.57,2.78,-0.06,37.82,Cash on Delivery,Refunded,RIDER-0149,Nina Rahman,0,N/A,4.0,,Yes,Android,No,No
FP-001056,2024-01-02,21:17,Jan-2024,Tuesday,Late Delivered,CUST-00595,David Kim,+68656931857,Loyal,Pakistan,Karachi,Clifton,"276 Street 14, Clifton",24.897232,67.051687,REST-0004,Pad Thai Street,Fast Food,Thai,2010,Pakistan,Karachi,DHA,120 Main St,24.840842,66.995964,4.6,2021,No,Pad Thai,Thai,2,9.34,2.8,18.68,3.09,0.0,FLASHDEAL,21.77,5.6,2.46,0.24,1.79,0.7,0.66,21.77,8.33,13.44,3.48,61.74,Credit Card,Paid,RIDER-0001,Ji Ahmed,74,No,4.1,2.1,No,Web,No,No
FP-000138,2024-01-02,15:53,Jan-2024,Tuesday,Late Delivered,CUST-00362,Thanh Tan,+75886989426,Loyal,Philippines,Manila,Quezon City,"5 Block 15, Quezon City",14.517719,121.026797,REST-0108,Curry Kingdom,Casual Dining,Indian,2010,Philippines,Manila,BGC,188 Park Lane,14.559169,120.999336,4.5,2017,No,Butter Chicken,Indian,4,10.57,3.22,42.28,2.35,0.0,,44.63,12.88,6.73,0.16,1.82,2.37,1.3,44.63,17.23,27.4,6.03,61.39,Cash on Delivery,Paid,RIDER-0092,Zara Wong,42,No,3.4,2.6,No,Android,No,No
FP-001402,2024-01-02,19:30,Jan-2024,Tuesday,Refunded,CUST-00485,Emily Singh,+70807309035,Loyal,Malaysia,Penang,Batu Ferringhi,"198 Street 2, Batu Ferringhi",5.40792,100.308885,REST-0091,Crispy Wings,Fast Food,American,2016,Malaysia,Penang,Georgetown,5 Park Lane,5.407101,100.378737,3.3,2018,No,Crispy Chicken Sandwich,American,2,10.98,3.09,21.96,0.74,0.0,,22.7,6.18,4.06,0.61,1.48,0.9,0.63,22.7,9.17,13.53,2.44,59.6,FoodPanda Credits,Refunded,RIDER-0074,Min Wang,52,No,4.9,3.6,No,Android,No,No
FP-001681,2024-01-02,14:26,Jan-2024,Tuesday,Delivered,CUST-00542,Maria Lee,+83694018597,New,Hong Kong,Hong Kong,Central,"8 Block 10, Central",22.354929,114.131654,REST-0141,Din Tai Fung,Fine Dining,Chinese,1958,Hong Kong,Hong Kong,Central,128 Market Rd,22.350881,114.181138,3.8,2016,Yes,Dim Sum Basket,Chinese,1,18.62,4.84,18.62,1.33,4.62,NEWUSER30,15.33,4.84,2.55,0.73,2.26,1.09,0.52,19.95,8.92,6.41,0.32,32.13,Cash on Delivery,Paid,RIDER-0099,Anusha Hassan,22,Yes,3.7,3.6,Yes,Android,No,No
FP-001976,2024-01-03,22:34,Jan-2024,Wednesday,Late Delivered,CUST-00012,Wei Costa,+85963919401,New,Philippines,Cebu,IT Park,"242 Avenue 10, IT Park",10.344868,123.915275,REST-0112,Starbucks,Cafe,Coffee,1971,Philippines,Cebu,IT Park,130 Market Rd,10.315846,123.92479,4.3,2019,Yes,Iced Matcha Latte,Coffee,2,5.23,1.91,10.46,0.81,0.0,FLASHDEAL,11.27,3.82,1.8,0.47,0.81,0.46,0.23,11.27,5.56,5.71,1.1,50.67,Credit Card,Paid,RIDER-0132,Maria Suzuki,52,No,4.4,2.3,Yes,Android,Yes,No
FP-003528,2024-01-03,21:42,Jan-2024,Wednesday,Delivered,CUST-00291,Emily Tan,+75576954730,Loyal,Bangladesh,Dhaka,Banani,"222 Block 1, Banani",23.853273,90.399209,REST-0033,Subway,Fast Food,American,1965,Bangladesh,Dhaka,Gulshan,93 Food Ave,23.787596,90.389975,4.8,2021,Yes,French Fries (L),American,4,4.11,1.22,16.44,1.73,0.0,LUNCHSPECIAL,18.17,4.88,3.49,0.51,0.91,0.5,0.58,18.17,6.8,11.37,3.88,62.58,Digital Wallet,Paid,RIDER-0164,Ali Tan,46,No,4.1,3.8,No,Android,No,No
FP-001240,2024-01-03,12:48,Jan-2024,Wednesday,Cancelled,CUST-00792,Emma Chen,+95543109075,Returning,Pakistan,Islamabad,F-7,"225 Street 18, F-7",33.733795,73.138461,REST-0029,Dunkin',Cafe,Coffee,1950,Pakistan,Islamabad,G-9,93 Food Ave,33.679152,73.134296,3.4,2016,Yes,Iced Matcha Latte,Coffee,2,6.89,2.11,13.78,1.62,0.0,,15.4,4.22,1.97,0.52,1.98,0.58,0.47,15.4,7.3,8.1,0.98,52.6,Cash on Delivery,Refunded,RIDER-0051,Hassan Kim,0,N/A,2.8,,No,Android,No,No
FP-001265,2024-01-03,15:29,Jan-2024,Wednesday,Delivered,CUST-00297,Ji Chen,+72494966219,Loyal,Thailand,Bangkok,Silom,"81 Street 9, Silom",13.782709,100.567949,REST-0054,Crispy Wings,Fast Food,American,2016,Thailand,Bangkok,Silom,30 Food Ave,13.718696,100.502598,4.3,2019,No,Crispy Chicken Sandwich,American,3,10.0,3.02,30.0,3.84,0.0,LUNCHSPECIAL,33.84,9.06,4.24,0.53,1.62,1.66,0.63,33.84,12.87,20.97,4.9,61.97,Credit Card,Paid,RIDER-0041,Kim Rahman,22,Yes,2.5,2.0,Yes,Android,No,No
FP-003366,2024-01-03,19:08,Jan-2024,Wednesday,Delivered,CUST-00628,Sofia Suzuki,+66761078179,New,Hong Kong,Hong Kong,Causeway Bay,"298 Avenue 9, Causeway Bay",22.360713,114.140048,REST-0149,Dragon Palace,Fine Dining,Chinese,2001,Hong Kong,Hong Kong,Mong Kok,156 Commerce Blvd,22.34045,114.163132,3.5,2016,No,Spring Rolls 4pc,Chinese,1,13.2,4.0,13.2,4.75,1.66,SAVE15,16.29,4.0,2.68,1.05,2.05,0.75,0.48,17.95,7.85,8.44,4.06,47.02,Digital Wallet,Paid,RIDER-0181,Juan Nguyen,60,No,4.6,4.2,No,Android,No,No
FP-002817,2024-01-03,05:48,Jan-2024,Wednesday,Cancelled,CUST-00587,Mei Hassan,+67304853117,Returning,Myanmar,Yangon,Sanchaung,"139 Lane 20, Sanchaung",16.899323,96.143719,REST-0167,Burger King,Fast Food,American,1953,Myanmar,Yangon,Bahan,87 Food Ave,16.912083,96.229703,3.7,2022,Yes,Vanilla Milkshake,American,2,3.85,1.09,7.7,1.39,2.25,NEWUSER30,6.84,2.18,0.93,0.29,0.89,0.51,0.17,9.09,3.87,2.97,0.8,32.67,Credit Card,Refunded,RIDER-0137,Siti Singh,0,N/A,4.6,,No,iOS,No,No
FP-001820,2024-01-03,15:45,Jan-2024,Wednesday,Delivered,CUST-00274,David Malik,+81922653967,New,Taiwan,Taichung,Beitun,"152 Block 3, Beitun",24.1924,120.71369,REST-0140,La Mexicana,Casual Dining,Mexican,2013,Taiwan,Taichung,Beitun,58 Park Lane,24.164918,120.63742,4.6,2019,No,Chicken Burrito,Mexican,3,12.28,3.41,36.84,3.07,0.0,,39.91,10.23,4.99,0.21,1.47,1.76,1.29,39.91,13.67,26.24,5.91,65.75,Digital Wallet,Paid,RIDER-0083,Min Yamamoto,21,Yes,5.0,3.8,No,iOS,No,No
FP-000748,2024-01-03,11:50,Jan-2024,Wednesday,Delivered,CUST-00353,Omar Khan,+93684203557,Returning,Bangladesh,Dhaka,Gulshan,"41 Street 15, Gulshan",23.778606,90.402779,REST-0038,Peri Peri,Casual Dining,Chicken,2012,Bangladesh,Dhaka,Gulshan,84 Commerce Blvd,23.809101,90.417588,3.7,2022,No,Coleslaw,Chicken,4,2.98,0.97,11.92,2.25,1.65,SAVE15,12.52,3.88,2.38,0.27,1.16,0.53,0.38,14.17,5.84,6.68,3.05,47.14,Cash on Delivery,Paid,RIDER-0030,Sara Malik,56,No,3.6,4.1,No,Android,No,No
FP-000298,2024-01-03,19:37,Jan-2024,Wednesday,Late Delivered,CUST-00017,Aisha Kim,+67588322781,Returning,Singapore,Singapore,Tanjong Pagar,"290 Block 5, Tanjong Pagar",1.254074,103.8249,REST-0071,Tim Hortons,Cafe,Coffee,1964,Singapore,Singapore,Tanjong Pagar,116 Main St,1.30324,103.862781,4.3,2022,Yes,Blueberry Muffin,Coffee,3,7.93,2.49,23.79,2.82,2.3,WEEKEND10,24.31,7.47,3.89,0.88,2.2,1.67,0.52,26.61,12.22,12.09,2.48,45.43,Digital Wallet,Paid,RIDER-0083,Min Yamamoto,20,Yes,3.8,2.4,No,Android,No,No
FP-001635,2024-01-03,20:55,Jan-2024,Wednesday,Delivered,CUST-00103,David Chen,+73561784080,Returning,Bangladesh,Dhaka,Gulshan,"277 Lane 6, Gulshan",23.78268,90.389068,REST-0031,Biryani House,Fast Food,Pakistani,2008,Bangladesh,Dhaka,Gulshan,147 Park Lane,23.76847,90.450114,3.5,2019,No,Seekh Kabab 4pc,Pakistani,5,7.92,2.38,39.6,2.23,0.0,,41.83,11.9,6.4,0.33,1.15,2.62,0.94,41.83,16.0,25.83,5.47,61.75,Credit Card,Paid,RIDER-0107,Maria Ahmed,50,No,2.9,4.0,Yes,Android,No,No
FP-002837,2024-01-03,18:49,Jan-2024,Wednesday,Delivered,CUST-00691,Juan Sharma,+67785811060,Returning,Bangladesh,Chittagong,GEC,"80 Block 12, GEC",22.334908,91.857261,REST-0044,Tim Hortons,Cafe,Coffee,1964,Bangladesh,Chittagong,Nasirabad,157 Main St,22.35576,91.815501,4.2,2021,Yes,Croissant,Coffee,1,3.7,1.08,3.7,2.7,0.0,,6.4,1.08,0.5,0.39,1.28,0.21,0.12,6.4,2.96,3.44,1.44,53.75,Bank Transfer,Paid,RIDER-0019,Tariq Khan,68,No,2.6,4.2,No,Web,No,No
FP-002577,2024-01-03,15:31,Jan-2024,Wednesday,Delivered,CUST-00386,Sofia Tan,+83569172971,Loyal,Philippines,Manila,BGC,"261 Block 17, BGC",14.576688,121.01856,REST-0102,The Burger Lab,Fast Food,American,2015,Philippines,Manila,BGC,12 Commerce Blvd,14.504404,121.036293,3.8,2017,No,Chicken McNuggets 10pc,American,2,6.64,2.01,13.28,2.19,0.0,PANDAPRO,15.47,4.02,1.62,0.46,1.71,0.64,0.32,15.47,6.83,8.64,1.32,55.85,Cash on Delivery,Paid,RIDER-0151,Wei Silva,41,No,3.0,3.4,No,Android,No,No
FP-003292,2024-01-03,00:52,Jan-2024,Wednesday,Cancelled,CUST-00734,Ahmed Park,+78539017530,Returning,Hong Kong,Hong Kong,Causeway Bay,"275 Block 3, Causeway Bay",22.360106,114.130431,REST-0142,Sushi King,Casual Dining,Japanese,1995,Hong Kong,Hong Kong,Mong Kok,163 Main St,22.2938,114.218238,4.6,2021,Yes,Gyoza 6pc,Japanese,1,16.0,4.82,16.0,5.96,0.0,,21.96,4.82,3.49,0.66,2.67,0.87,0.33,21.96,9.02,12.94,5.58,58.93,Debit Card,Refunded,RIDER-0178,Emily Khan,0,N/A,3.2,,Yes,iOS,Yes,No
